Order_ID,Product_ID,Customer_ID,order_date,Profit
CA-2015-140025,OFF-AP-10002651,PF-19120,2015-04-07,-1181.28
CA-2014-103331,OFF-PA-10002659,KB-16315,2014-08-26,1.55
CA-2017-118003,FUR-CH-10004860,DO-13645,2017-12-04,18.18
US-2015-129553,TEC-PH-10004897,PG-18820,2015-07-27,0.30
US-2017-133361,OFF-AR-10003045,AJ-10780,2017-05-14,6.62
CA-2015-123092,OFF-BI-10001718,JG-15115,2015-12-03,-73.58
CA-2017-126354,OFF-PA-10004381,SC-20380,2017-02-03,40.35
CA-2015-109575,TEC-PH-10000730,KH-16630,2015-09-18,130.00
CA-2014-111451,OFF-BI-10004593,KL-16555,2014-12-26,-62.88
CA-2017-133256,TEC-PH-10002660,TH-21550,2017-06-26,135.98
CA-2014-128888,OFF-EN-10003001,PB-19105,2014-11-15,204.07
CA-2016-106243,FUR-BO-10003034,GM-14680,2016-09-30,-26.20
CA-2017-121503,OFF-PA-10001878,FH-14275,2017-07-03,92.44
CA-2017-156622,OFF-BI-10003707,JP-15460,2017-11-23,-9.16
CA-2014-148950,OFF-BI-10001249,JD-16015,2014-12-14,-8.68
CA-2014-115812,FUR-TA-10001539,BH-11710,2014-06-09,85.31
US-2014-127978,FUR-BO-10001972,JS-15595,2014-03-03,-199.00
CA-2016-103919,FUR-FU-10001756,TP-21565,2016-10-03,-29.51
CA-2016-114972,TEC-AC-10000682,PF-19225,2016-11-03,29.03
CA-2017-152912,TEC-AC-10004666,BM-11650,2017-11-09,355.00
US-2015-105676,FUR-FU-10004270,NM-18520,2015-12-01,-4.01
CA-2017-135692,OFF-LA-10001158,CV-12805,2017-04-27,11.59
CA-2016-103037,OFF-LA-10004345,KH-16630,2016-07-25,5.70
US-2016-162677,TEC-AC-10001314,DB-13210,2016-03-26,-18.00
CA-2014-133851,OFF-AR-10003752,CM-12445,2014-06-09,10.63
CA-2017-112536,OFF-ST-10004835,SG-20890,2017-05-18,0.67
CA-2016-159373,OFF-PA-10000659,LT-17110,2016-03-13,24.53
CA-2015-131338,FUR-FU-10001706,NP-18325,2015-08-09,2.96
CA-2017-127306,OFF-BI-10003727,BH-11710,2017-01-14,-1.84
US-2014-165589,FUR-FU-10002396,TB-21595,2014-02-18,-11.32
CA-2014-163552,FUR-CH-10003379,LA-16780,2014-07-11,213.74
US-2017-142573,FUR-CH-10000513,ML-17410,2017-07-18,-42.90
CA-2017-126865,OFF-PA-10003039,NP-18325,2017-12-05,41.82
US-2014-122021,OFF-PA-10002230,AC-10660,2014-10-15,2.89
CA-2017-150987,OFF-PA-10002923,AH-10120,2017-04-08,97.88
CA-2017-113908,TEC-MA-10003173,KN-16390,2017-06-03,36.18
CA-2016-154998,OFF-PA-10004243,ES-14080,2016-04-07,18.21
CA-2016-152730,OFF-AR-10000940,EM-14140,2016-05-30,3.97
CA-2014-156594,OFF-BI-10003007,MC-17845,2014-12-20,50.41
CA-2015-150875,FUR-TA-10000577,HK-14890,2015-11-16,160.18
CA-2014-122609,FUR-FU-10004587,DP-13000,2014-11-12,-6.91
CA-2016-109869,FUR-TA-10001889,TN-21040,2016-04-22,-814.48
CA-2015-128083,FUR-FU-10003194,EB-13750,2015-03-12,3.86
CA-2015-158421,OFF-PA-10001801,GB-14575,2015-09-21,11.72
CA-2017-141733,FUR-CH-10002017,RW-19540,2017-05-07,7.46
CA-2015-168809,OFF-BI-10000315,MC-18100,2015-08-25,-6.08
CA-2016-106530,OFF-ST-10000649,CL-12565,2016-05-08,1.57
US-2014-160780,OFF-BI-10002931,SV-20785,2014-06-21,-16.78
CA-2017-100524,OFF-PA-10004911,CM-12115,2017-03-31,36.02
CA-2017-102379,TEC-PH-10001448,BB-11545,2017-12-02,-8.00
CA-2015-169740,TEC-AC-10000927,LM-17065,2015-02-20,3.00
CA-2014-151001,OFF-ST-10003455,JG-15805,2014-04-05,3.72
CA-2015-104948,FUR-BO-10004357,KH-16510,2015-11-13,-40.20
CA-2016-145982,OFF-PA-10000675,TB-21055,2016-08-27,60.26
CA-2017-156776,FUR-CH-10002317,JL-15505,2017-08-07,25.90
CA-2016-140634,OFF-EN-10001099,HL-15040,2016-10-03,5.09
CA-2017-166933,OFF-FA-10002676,MG-17890,2017-04-24,0.65
US-2017-116659,TEC-PH-10002824,NG-18355,2017-11-12,-92.70
CA-2017-141425,OFF-SU-10000646,AR-10825,2017-11-02,-81.73
CA-2016-137673,TEC-AC-10002345,ML-17395,2016-09-05,29.00
CA-2014-153850,FUR-FU-10002960,TH-21100,2014-11-24,9.67
CA-2017-160983,OFF-PA-10002250,GB-14530,2017-10-29,22.54
CA-2015-135020,TEC-PH-10004093,MS-17770,2015-05-28,13.34
CA-2016-105585,OFF-PA-10003625,RF-19735,2016-08-26,69.71
CA-2015-124800,TEC-PH-10001750,RW-19540,2015-09-26,23.10
CA-2014-103401,OFF-PA-10003309,GR-14560,2014-11-21,6.22
CA-2016-127208,OFF-AP-10002118,SC-20770,2016-06-12,56.20
CA-2016-158099,OFF-BI-10000545,PK-18910,2016-09-03,-760.98
US-2014-105767,TEC-PH-10003092,AR-10510,2014-05-23,-10.12
CA-2014-129189,OFF-AP-10000124,HM-14860,2014-07-21,-12.98
CA-2014-156594,OFF-BI-10004632,MC-17845,2014-12-20,152.50
CA-2017-120222,OFF-PA-10004675,LL-16840,2017-04-25,8.76
CA-2017-135650,OFF-ST-10001809,AC-10660,2017-03-23,-32.34
CA-2016-130820,FUR-TA-10001768,ON-18715,2016-11-15,-199.51
CA-2015-110667,OFF-AR-10000716,NF-18595,2015-04-04,4.35
CA-2017-141138,TEC-AC-10001772,GH-14425,2017-11-10,43.60
CA-2016-162943,FUR-CH-10001708,DB-12970,2016-07-24,31.02
CA-2014-141152,OFF-BI-10002931,RF-19345,2014-09-16,12.58
CA-2016-128412,OFF-AP-10000252,AP-10915,2016-12-10,12.29
CA-2014-166863,TEC-MA-10001972,SC-20020,2014-06-20,-97.72
CA-2017-134915,FUR-CH-10004875,EM-14140,2017-11-12,9.97
US-2015-115238,FUR-FU-10002960,JW-15220,2015-04-30,13.19
US-2014-157385,TEC-AC-10003280,SC-20095,2014-11-23,6.30
CA-2017-121853,OFF-BI-10000977,DB-13660,2017-09-23,23.71
CA-2016-133368,OFF-PA-10004039,AG-10675,2016-01-14,32.47
CA-2016-146157,OFF-PA-10001790,RD-19720,2016-11-21,13.45
CA-2016-154018,OFF-PA-10000551,HA-14920,2016-10-13,3.00
CA-2017-125472,FUR-BO-10000330,BD-11725,2017-05-30,33.87
CA-2016-168893,FUR-TA-10003392,AP-10915,2016-11-03,160.16
CA-2017-135937,FUR-FU-10002253,KM-16375,2017-02-20,16.32
CA-2016-165330,OFF-BI-10004001,WB-21850,2016-12-11,39.87
CA-2015-135510,FUR-FU-10000820,TW-21025,2015-09-05,12.23
CA-2014-114195,FUR-FU-10002253,EA-14035,2014-11-01,16.32
CA-2014-116785,OFF-AR-10003504,MH-17290,2014-04-26,6.21
CA-2015-120362,FUR-TA-10003008,CA-12265,2015-09-14,118.66
US-2014-140452,OFF-ST-10002485,BK-11260,2014-12-06,-8.35
CA-2014-145387,FUR-CH-10002320,AM-10705,2014-10-31,481.47
CA-2017-129357,OFF-SU-10004498,KB-16585,2017-05-14,1.93
CA-2015-127607,OFF-BI-10001308,JK-15730,2015-03-20,-4.40
CA-2015-110247,OFF-BI-10001553,RH-19555,2015-12-04,-6.03
US-2017-102288,OFF-AP-10004655,ZC-21910,2017-06-19,-5.21
CA-2014-154963,FUR-CH-10004698,AA-10645,2014-06-22,-4.86
US-2015-134026,OFF-ST-10004123,JE-15745,2015-04-26,-18.20
CA-2016-132997,TEC-PH-10003811,LW-17215,2016-11-07,100.79
CA-2014-128622,OFF-SU-10001574,SC-20260,2014-11-15,3.29
CA-2017-101182,OFF-PA-10001800,KB-16405,2017-09-04,6.22
CA-2015-135853,OFF-BI-10004965,CA-12775,2015-12-11,10.35
CA-2016-114727,OFF-BI-10004967,LS-16945,2016-07-18,-1.44
CA-2016-134474,OFF-AR-10003958,AJ-10795,2016-01-05,0.59
CA-2015-161830,OFF-BI-10001097,ME-17725,2015-09-24,5.42
CA-2014-153969,OFF-PA-10002246,HF-14995,2014-09-21,9.48
US-2017-158512,FUR-FU-10004973,DA-13450,2017-01-12,15.83
CA-2015-153325,OFF-BI-10004236,ST-20530,2015-03-01,27.01
CA-2017-100202,TEC-PH-10002563,BD-11620,2016-12-31,22.68
CA-2017-123022,OFF-BI-10002225,SC-20050,2017-09-03,28.90
CA-2016-168046,FUR-FU-10000747,JD-15895,2016-01-25,7.82
US-2016-141880,FUR-FU-10001979,TC-21475,2016-08-22,9.83
US-2014-100853,OFF-LA-10003148,JB-15400,2014-09-14,6.55
CA-2017-168172,OFF-SU-10002573,SH-20395,2017-08-06,21.04
US-2015-148817,OFF-BI-10004233,KD-16495,2015-12-01,30.70
CA-2014-127614,OFF-BI-10003291,NF-18385,2014-02-11,8.21
US-2016-151862,TEC-PH-10003535,ON-18715,2016-03-01,14.00
CA-2016-165169,OFF-ST-10001496,JL-15235,2016-06-05,93.70
CA-2017-128853,FUR-CH-10004218,JM-15250,2017-04-21,227.21
CA-2017-152737,OFF-BI-10002982,TS-21505,2017-11-07,7.63
CA-2017-141663,OFF-FA-10004076,DP-13105,2017-04-13,1.68
CA-2016-157259,FUR-FU-10003192,JM-15535,2016-12-24,207.89
US-2017-148362,OFF-ST-10001128,KF-16285,2017-07-01,13.32
US-2017-118157,OFF-EN-10004459,AW-10930,2017-11-14,7.49
CA-2015-111395,OFF-ST-10001291,VB-21745,2015-11-23,2.37
CA-2014-146528,OFF-PA-10002195,VF-21715,2014-07-25,3.18
CA-2016-112830,FUR-FU-10004845,LP-17095,2016-06-06,0.00
CA-2014-146815,OFF-AR-10003469,PP-18955,2014-09-08,1.69
CA-2016-141180,OFF-BI-10000301,DP-13000,2016-05-15,-5.18
CA-2017-168123,OFF-BI-10001071,JD-16060,2017-03-05,62.70
US-2017-101539,OFF-PA-10001972,VM-21685,2017-03-16,3.11
US-2017-100482,TEC-AC-10003441,JL-15130,2017-04-11,-4.75
CA-2016-159373,FUR-TA-10004619,LT-17110,2016-03-13,0.00
CA-2017-103380,OFF-FA-10004248,BF-11005,2017-11-21,3.52
CA-2016-131065,TEC-AC-10004145,AA-10375,2016-11-14,115.00
CA-2017-143245,OFF-PA-10001972,AD-10180,2017-12-01,9.33
CA-2017-138975,OFF-PA-10000100,SC-20380,2017-05-19,140.60
CA-2016-116526,OFF-BI-10001116,JA-15970,2016-09-01,12.67
CA-2017-127432,TEC-CO-10003236,AD-10180,2017-01-22,1379.98
US-2015-142020,OFF-PA-10004569,TC-21535,2015-06-04,14.31
CA-2016-125087,OFF-ST-10001780,TH-21115,2016-04-18,77.75
CA-2016-140130,OFF-ST-10001128,HW-14935,2016-10-31,9.99
CA-2015-144288,OFF-LA-10003190,MB-17305,2015-12-25,3.34
CA-2014-133228,FUR-FU-10004020,MS-17710,2014-04-04,2.35
CA-2014-107398,OFF-BI-10002103,BS-11590,2014-08-25,-16.68
CA-2017-110905,OFF-AP-10004785,RW-19690,2017-09-10,14.62
CA-2014-117765,FUR-CH-10004698,RB-19465,2014-09-07,45.35
CA-2014-113271,OFF-AR-10003251,DS-13030,2014-07-09,2.22
US-2017-162670,OFF-PA-10001994,MF-18250,2017-12-23,20.68
CA-2015-105627,TEC-PH-10003012,DK-12895,2015-03-08,223.29
CA-2016-121447,FUR-FU-10001861,EA-14035,2016-02-21,66.54
CA-2014-151897,OFF-LA-10001074,VT-21700,2014-06-06,33.00
CA-2014-156160,OFF-AR-10003876,AS-10090,2014-09-22,5.74
US-2016-122182,TEC-AC-10002800,BD-11770,2016-03-10,7.50
CA-2015-161998,OFF-AR-10004022,DB-13120,2015-05-01,10.79
CA-2015-143882,OFF-PA-10004040,DB-13360,2015-06-26,15.61
US-2015-168704,TEC-PH-10001061,FP-14320,2015-04-13,18.00
CA-2017-144484,FUR-FU-10000260,CB-12025,2017-09-11,11.65
CA-2017-163006,TEC-PH-10002584,GH-14410,2017-06-30,125.20
CA-2014-129147,TEC-PH-10001552,LC-17050,2014-11-02,-10.05
CA-2015-111514,OFF-BI-10002735,SC-20260,2015-08-31,46.32
CA-2017-146136,OFF-EN-10001219,AP-10915,2017-09-03,8.86
CA-2016-129126,OFF-BI-10000279,PK-19075,2016-12-14,7.80
CA-2014-138317,OFF-BI-10000069,NW-18400,2014-06-21,-7.20
CA-2017-107314,FUR-FU-10003489,MZ-17335,2017-11-30,9.56
CA-2017-167094,TEC-AC-10003116,DK-12835,2017-10-21,6.75
CA-2017-113278,TEC-PH-10000169,HR-14770,2017-01-14,1.36
CA-2016-161158,OFF-AR-10000462,PS-18970,2016-05-09,3.44
US-2017-136189,FUR-FU-10000175,DC-13285,2017-12-07,25.54
US-2015-138303,OFF-ST-10004963,MG-18145,2015-09-03,-7.27
CA-2016-134348,TEC-AC-10003447,MS-17710,2016-11-12,2.00
CA-2017-132521,OFF-AP-10002191,DW-13540,2017-09-23,33.59
CA-2017-162474,TEC-PH-10004700,FH-14275,2017-03-13,2.60
CA-2016-169971,OFF-AR-10002804,IL-15100,2016-09-04,1.03
CA-2016-145583,OFF-SU-10001218,LC-16885,2016-10-13,18.45
CA-2016-108581,TEC-AC-10001109,EA-14035,2016-06-20,26.39
CA-2016-118255,TEC-AC-10000171,ON-18715,2016-03-11,19.77
US-2015-164448,OFF-BI-10002949,DK-12835,2015-10-31,3.28
CA-2014-130449,OFF-LA-10001934,VP-21760,2014-09-06,27.49
CA-2014-138513,OFF-PA-10003177,EH-13990,2014-05-23,6.22
US-2016-108504,FUR-FU-10004091,PP-18955,2016-02-05,7.16
CA-2016-123617,OFF-BI-10002976,AJ-10780,2016-11-28,-5.70
CA-2015-124919,OFF-PA-10001950,SP-20650,2015-05-31,26.27
CA-2015-130974,OFF-PA-10000743,MA-17560,2015-11-27,19.24
CA-2017-106747,FUR-FU-10004188,TS-21505,2017-07-03,26.60
CA-2014-124429,OFF-ST-10001809,MH-17785,2014-05-27,7.19
CA-2017-145128,FUR-FU-10000293,SM-20320,2017-07-09,31.59
US-2016-103674,OFF-BI-10002026,AP-10720,2016-12-06,153.12
CA-2016-133711,OFF-PA-10001685,MC-17425,2016-11-26,34.78
US-2015-168914,OFF-AP-10000358,JE-15745,2015-05-21,-52.96
CA-2014-142510,OFF-PA-10001289,NP-18700,2014-12-22,44.96
CA-2017-147228,OFF-SU-10001225,SO-20335,2017-09-09,-1.99
CA-2016-167241,OFF-ST-10001505,BD-11320,2016-08-15,3.05
CA-2015-100146,FUR-CH-10004495,CB-12535,2015-05-14,81.26
CA-2017-102736,TEC-AC-10004568,LP-17095,2017-09-05,-1.12
CA-2016-128727,TEC-PH-10003442,MO-17800,2016-08-29,5.50
CA-2016-123946,FUR-CH-10002073,AJ-10795,2016-09-12,307.14
CA-2015-117611,TEC-AC-10002049,MZ-17335,2015-11-08,66.95
CA-2015-137302,TEC-PH-10003174,BW-11110,2015-04-26,39.00
CA-2015-121188,OFF-BI-10001617,CB-12025,2015-08-28,13.96
CA-2015-105158,OFF-PA-10001970,SP-20860,2015-09-05,17.31
CA-2017-118885,FUR-CH-10002880,JG-15160,2017-12-29,-44.28
CA-2015-141593,OFF-BI-10001153,DB-12970,2015-12-14,20.72
CA-2017-137505,FUR-TA-10001676,BP-11290,2017-11-24,-1.78
CA-2016-144218,OFF-ST-10002615,JD-15895,2016-10-31,282.21
US-2016-100720,TEC-PH-10003963,CK-12205,2016-07-16,-115.35
CA-2016-120824,OFF-AP-10001242,AW-10930,2016-06-12,-160.96
CA-2016-118934,OFF-BI-10004465,GH-14410,2016-08-09,-7.92
CA-2016-145177,OFF-PA-10000682,PP-18955,2016-11-10,1.68
CA-2014-114195,OFF-BI-10001658,EA-14035,2014-11-01,-17.94
CA-2015-143147,TEC-MA-10004679,PS-18760,2015-05-26,-79.91
CA-2015-146675,TEC-CO-10001766,SB-20185,2015-04-16,485.99
CA-2017-130764,TEC-PH-10003215,JO-15145,2017-10-27,34.74
CA-2016-143441,OFF-LA-10002312,EB-14170,2016-11-05,4.44
CA-2015-154326,TEC-AC-10004568,RP-19855,2015-02-15,26.59
CA-2014-131002,OFF-BI-10000948,TB-21400,2014-09-07,20.12
CA-2016-121755,TEC-AC-10003027,EH-13945,2016-01-16,11.77
CA-2015-161795,OFF-AR-10001919,AH-10075,2015-12-21,0.34
CA-2017-137365,TEC-AC-10001767,BP-11095,2017-11-30,-10.80
CA-2014-139017,TEC-AC-10001013,RM-19375,2014-05-11,7.62
CA-2014-114790,TEC-PH-10000984,FM-14215,2014-03-11,164.63
CA-2016-162404,OFF-BI-10000948,NF-18475,2016-07-23,-18.84
CA-2014-134551,FUR-CH-10004287,TS-21505,2014-12-20,74.57
CA-2016-118101,OFF-BI-10000773,SN-20560,2016-06-26,3.77
CA-2017-145219,OFF-BI-10001670,RM-19675,2017-12-24,33.93
CA-2016-152170,OFF-BI-10002072,FH-14275,2016-11-12,8.69
CA-2015-110947,OFF-BI-10001670,AG-10765,2015-06-09,56.55
CA-2015-114069,FUR-CH-10000595,ND-18370,2015-07-13,321.84
CA-2015-154746,OFF-EN-10001532,PJ-18835,2015-11-14,16.98
CA-2017-106537,OFF-PA-10000223,RH-19495,2017-08-12,7.26
CA-2015-165057,OFF-LA-10003190,SC-20725,2015-09-11,4.23
CA-2016-156265,FUR-TA-10001691,BF-11020,2016-08-02,15.35
CA-2015-104486,OFF-ST-10000876,PO-18850,2015-05-01,10.45
US-2017-113852,TEC-AC-10003027,GW-14605,2017-07-29,11.77
CA-2017-110905,OFF-AP-10003281,RW-19690,2017-09-10,7.25
CA-2015-117828,OFF-AP-10001563,BD-11500,2015-12-23,56.35
CA-2014-159520,OFF-BI-10003982,GT-14635,2014-06-06,50.47
CA-2014-119375,OFF-ST-10002011,YC-21895,2014-11-17,792.27
CA-2015-141012,TEC-PH-10004522,TG-21640,2015-06-09,8.77
CA-2016-134474,TEC-PH-10002923,AJ-10795,2016-01-05,5.18
CA-2015-169677,OFF-LA-10003223,KS-16300,2015-01-13,4.81
CA-2016-106621,OFF-AR-10002375,DM-12955,2016-09-29,1.18
US-2014-141215,FUR-TA-10001520,KL-16555,2014-06-15,-18.56
CA-2014-153850,TEC-PH-10002584,TH-21100,2014-11-24,-250.40
CA-2016-128412,OFF-BI-10001718,AP-10915,2016-12-10,51.82
CA-2014-120887,FUR-FU-10001588,TS-21205,2014-09-27,37.64
CA-2015-121041,OFF-EN-10001137,CS-12250,2015-11-03,2.15
US-2016-100839,FUR-FU-10001617,NC-18625,2016-10-13,4.37
CA-2016-163398,OFF-BI-10000014,CB-12415,2016-05-03,-3.60
CA-2017-165204,OFF-ST-10003716,MN-17935,2017-11-13,-63.01
CA-2017-100223,OFF-BI-10003429,LS-16945,2017-07-05,-17.66
CA-2014-104402,TEC-MA-10000423,DB-13660,2014-06-17,31.01
CA-2015-103177,OFF-AP-10004540,EN-13780,2015-05-30,45.00
CA-2017-144568,OFF-FA-10004395,JO-15550,2017-05-29,1.00
US-2016-115441,TEC-AC-10003116,SH-19975,2016-07-25,48.00
US-2017-124779,FUR-FU-10001095,BF-11020,2017-09-08,-12.00
CA-2017-133333,OFF-PA-10002377,BF-11020,2017-09-18,10.00
CA-2017-155740,OFF-BI-10001071,TC-21475,2017-07-30,-54.00
CA-2017-117128,OFF-PA-10000007,BF-11080,2017-12-05,10.00
CA-2014-164210,OFF-PA-10002259,PW-19240,2014-11-18,13.00
CA-2016-141551,OFF-PA-10001569,BP-11230,2016-09-24,3.00
CA-2016-160745,TEC-AC-10001142,AR-10825,2016-12-11,32.00
CA-2014-157882,FUR-CH-10002774,AR-10405,2014-10-03,14.00
CA-2015-125976,TEC-PH-10002496,JK-15205,2015-09-27,562.00
US-2016-127971,TEC-PH-10003095,DW-13195,2016-11-20,46.00
CA-2016-163972,FUR-BO-10003894,MG-17890,2016-10-17,21.00
CA-2014-101266,OFF-PA-10002986,MM-17920,2014-08-27,6.00
US-2017-111024,FUR-TA-10002041,SZ-20035,2017-07-03,-104.00
CA-2017-100160,OFF-EN-10001509,CB-12025,2017-09-07,1.65
CA-2017-131492,FUR-TA-10003837,HH-15010,2017-10-19,-3.35
CA-2014-100090,OFF-BI-10001597,EB-13705,2014-07-08,68.85
CA-2015-120103,TEC-PH-10002170,MS-17365,2015-12-24,11.20
US-2017-149510,OFF-AP-10002350,MC-17575,2017-12-03,4.52
US-2017-106705,OFF-PA-10001509,PO-18850,2017-12-26,20.59
CA-2017-106068,OFF-ST-10004507,RB-19330,2017-10-23,1.20
CA-2017-115154,FUR-TA-10001950,RS-19420,2017-01-08,80.37
CA-2016-123414,OFF-SU-10002573,SU-20665,2016-08-21,3.51
CA-2015-118738,OFF-PA-10003177,AG-10495,2015-10-24,5.44
CA-2015-112452,TEC-PH-10000307,NC-18340,2015-04-04,0.44
CA-2016-146521,OFF-BI-10000301,CC-12610,2016-07-21,-1.29
CA-2017-149048,OFF-ST-10000078,BM-11650,2017-05-13,95.46
CA-2017-132955,OFF-BI-10002735,SC-20575,2017-06-24,48.38
CA-2014-163419,FUR-CH-10000665,TZ-21580,2014-11-11,75.49
CA-2017-118199,TEC-AC-10004171,LB-16795,2017-05-09,87.99
CA-2016-108987,OFF-ST-10001580,AG-10675,2016-09-08,3.60
CA-2017-134565,OFF-ST-10004804,TB-21400,2017-06-11,1.03
CA-2017-164049,OFF-PA-10000791,KH-16630,2017-11-02,10.73
CA-2017-168193,OFF-PA-10002254,RM-19750,2017-03-06,12.13
CA-2015-143238,TEC-AC-10003499,LO-17170,2015-09-06,18.06
CA-2014-109043,OFF-AP-10004708,CS-12355,2014-08-15,17.13
CA-2017-107552,OFF-PA-10002947,AI-10855,2017-05-05,3.21
US-2017-128447,OFF-AP-10004540,MC-17845,2017-11-10,112.22
CA-2015-112144,FUR-FU-10004306,CY-12745,2015-06-28,46.63
CA-2015-142601,OFF-PA-10000483,DE-13255,2015-04-18,27.88
CA-2015-162201,OFF-AR-10003856,AG-10495,2015-06-08,0.33
US-2017-141852,FUR-FU-10000023,JE-15745,2017-11-09,20.73
CA-2016-149762,OFF-ST-10001558,RD-19720,2016-12-03,7.31
CA-2016-156503,OFF-PA-10002377,NC-18415,2016-10-14,14.68
CA-2017-165841,OFF-PA-10001144,DB-13210,2017-12-21,79.89
CA-2015-124800,OFF-PA-10000501,RW-19540,2015-09-26,31.27
US-2016-126844,FUR-FU-10004909,BW-11110,2016-10-08,-32.32
CA-2017-167703,OFF-BI-10002071,MC-17575,2017-02-03,-4.00
CA-2014-102869,TEC-AC-10002134,LC-17140,2014-09-09,-5.00
CA-2015-120621,OFF-BI-10000948,JW-16075,2015-03-21,-10.00
CA-2017-145702,OFF-PA-10001526,AH-10075,2017-05-19,10.00
US-2017-163790,OFF-FA-10004838,NL-18310,2017-11-02,0.00
CA-2017-151211,OFF-BI-10002735,AH-10120,2017-08-17,48.00
CA-2017-116645,OFF-AR-10001044,ME-17725,2017-11-30,45.00
CA-2014-154592,OFF-PA-10000062,EH-14005,2014-12-07,81.00
CA-2014-126200,OFF-BI-10002225,JE-15715,2014-08-25,-20.00
CA-2016-108105,OFF-BI-10002412,GW-14605,2016-02-16,2.61
CA-2017-128335,OFF-EN-10001539,JA-15970,2017-09-29,10.97
CA-2017-136875,OFF-PA-10000357,TC-21295,2017-12-03,79.89
CA-2017-112333,OFF-AP-10001962,KF-16285,2017-04-08,10.49
CA-2016-130393,FUR-CH-10002647,JM-15865,2016-12-01,-17.75
CA-2014-155264,TEC-PH-10001305,RP-19270,2014-10-19,11.76
US-2016-155768,OFF-EN-10001219,LB-16795,2016-12-01,11.23
US-2014-127635,OFF-PA-10004610,SC-20260,2014-09-14,2.14
US-2016-114013,TEC-PH-10001494,SC-20770,2016-03-13,-116.98
CA-2015-164084,OFF-BI-10000605,AG-10525,2015-09-07,2.06
CA-2017-100580,OFF-BI-10000069,MK-17905,2017-08-13,11.71
CA-2017-147354,TEC-CO-10000971,KB-16315,2017-03-09,60.00
CA-2015-149678,OFF-SU-10004498,AW-10840,2015-04-13,0.39
CA-2017-117457,OFF-LA-10003766,KH-16510,2017-12-08,13.61
CA-2015-123568,OFF-BI-10001510,SC-20095,2015-11-08,28.65
CA-2017-121790,OFF-SU-10004231,LP-17095,2017-01-30,2.77
CA-2015-140144,TEC-PH-10002726,SC-20770,2015-06-20,47.24
CA-2016-134775,OFF-PA-10004734,AS-10285,2016-10-28,25.48
US-2017-148866,OFF-PA-10004782,JM-15535,2017-09-19,15.55
US-2014-112991,OFF-PA-10000019,SH-19975,2014-12-10,12.44
CA-2017-151281,FUR-FU-10000397,HM-14980,2017-04-27,39.08
US-2016-166660,FUR-BO-10000468,TB-21250,2016-01-30,7.77
CA-2016-128307,OFF-EN-10003040,BE-11335,2016-07-25,7.07
CA-2015-169299,OFF-AR-10002053,DO-13435,2015-08-24,0.72
CA-2015-102281,TEC-PH-10001552,MP-17470,2015-10-12,20.09
CA-2017-139619,OFF-ST-10003282,ES-14080,2017-09-19,9.56
CA-2015-124891,TEC-AC-10003033,RH-19495,2015-07-31,762.18
US-2015-168704,FUR-TA-10002530,FP-14320,2015-04-13,-45.29
CA-2017-159954,OFF-BI-10004876,SS-20410,2017-09-10,1.36
CA-2017-167661,OFF-PA-10002581,MP-18175,2017-10-05,27.88
CA-2017-101574,FUR-FU-10001706,BD-11725,2017-09-28,4.44
CA-2017-122490,OFF-LA-10001613,TT-21070,2017-11-13,4.23
CA-2017-150623,OFF-ST-10003692,DB-13360,2017-04-10,71.54
US-2017-147886,OFF-PA-10003651,DH-13075,2017-03-28,12.83
